COMBUSTÍVEL ; ANO ; REGIÃO ; ESTADO ; UNIDADE ; JANEIRO ; FEVEREIRO ; MARÇO ; ABRIL ; MAIO ; JUNHO ; JULHO ; AGOSTO ; SETEMBRO ; OUTUBRO ; NOVEMBRO ; DEZEMBRO ; TOTAL ; 
ÓLEO DIESEL ;1992; REGIÃO SUDESTE ; RIO DE JANEIRO ; m3 ;119544,858;117817,824;116951,034;124753,022;110732,219;127409,942;131216,057;136992,287;110119,774;114534,969;123467,968;126395,862;1459935,816; 
ÓLEO DIESEL ;1992; REGIÃO SUDESTE ; SÃO PAULO ; m3 ;477806,816;467654,055;477278,005;511037,343;498337,694;576252,183;608108,147;502578,802;484519,954;520633,107;548779,841;500798,572;6173784,519; 
ÓLEO DIESEL ;1992; REGIÃO SUL ; PARANÁ ; m3 ;159979,76;166484,393;177776,819;221990,904;174500,984;191995,897;200675,899;200948,347;192688,799;207749,305;180297,523;155181,916;2230270,546; 
ÓLEO DIESEL ;1992; REGIÃO SUL ; SANTA CATARINA ; m3 ;76471,83;72603,36;75251,147;83816,1;73898,195;82896,75;87218,77;81192,67;82401,74;89140,27;84504,414;78149,362;967544,608; 
ÓLEO DIESEL ;1992; REGIÃO SUL ; RIO GRANDE DO SUL ; m3 ;161447,208;149250,176;167846,457;203495,355;159496,942;170014,32;176545,391;195074,462;175868,083;202668,594;218933,563;168273,659;2148914,21; 
ÓLEO DIESEL ;1992; REGIÃO CENTRO-OESTE ; MATO GROSSO DO SUL ; m3 ;57433,662;60881,832;67978,666;80472,229;61664,034;70032,549;72196,971;74248,511;69050,788;78611,756;74681,395;55720,038;822972,431; 
ÓLEO DIESEL ;1992; REGIÃO CENTRO-OESTE ; MATO GROSSO ; m3 ;70002,558;72986,715;84339,801;89058,691;90563,264;94512,744;106060,83;103841,269;98316,712;112460,962;99167,6;75596,012;1096907,158; 
ÓLEO DIESEL ;1992; REGIÃO CENTRO-OESTE ; GOIÁS ; m3 ;66680,18;67687,027;74700,338;82398,019;84302,072;87314,217;93466,166;90707,894;90385,903;106071,985;95302,471;78865,164;1017881,436; 
ÓLEO DIESEL  ;1992; REGIÃO CENTRO-OESTE ; DISTRITO FEDERAL ; m3 ;15875,324;15629,698;16104,48;17782,528;16925,613;19382,419;19023,439;18495,341;19153,134;19667,089;18170,38;16815,968;213025,413; 
ÓLEO DIESEL ;1993; REGIÃO NORTE ; RONDÔNIA ; m3 ;21928,23;25853,242;31133,388;26786,64;30608,098;34687,441;35775,043;34117,855;32783,66;35244,728;30594,776;33614,715;373127,816; 
ÓLEO DIESEL ;1993; REGIÃO NORTE ; ACRE ; m3 ;12105,521;9029,503;9013,466;8270,596;9352,242;9481,322;10166,606;10536,926;9942,651;9970,489;10007,038;11099,25;118975,61; 
ÓLEO DIESEL ;1993; REGIÃO NORTE ; AMAZONAS ; m3 ;26267,948;22755,535;27500,863;26494,479;26778,993;30964,823;35475,615;33196,631;41756,948;32473,648;34420,347;26930,978;365016,808; 
ÓLEO DIESEL ;1993; REGIÃO NORTE ; RORAIMA ; m3 ;8515,21;8279,984;9613,829;9181,51;8511,219;8855,329;8358,27;9069,215;9276,302;9428,065;9736,064;11032,181;109857,178; 
ÓLEO DIESEL ;1993; REGIÃO NORTE ; PARÁ ; m3 ;51125,695;47121,021;59087,671;68544,676;65640,885;73171,401;66277,932;74818,842;70703,914;74107,419;71506,129;69503,459;791609,044; 
ÓLEO DIESEL ;1993; REGIÃO NORTE ; AMAPÁ ; m3 ;7440,45;6218,836;9462,143;6931,062;7082,779;10819,202;8224,467;9517,48;8588,113;10083,099;8957,293;10672,62;103997,544; 
ÓLEO DIESEL ;1993; REGIÃO NORTE ; TOCANTINS ; m3 ;17073,353;17359,489;21382,685;18687,842;20589,336;20797,054;21016,549;23035,704;22543,064;23655,202;23586,952;22542,109;252269,339; 
ÓLEO DIESEL ;1993; REGIÃO NORDESTE ; MARANHÃO ; m3 ;36604,475;35278,927;42762,485;32664,408;32980,744;37977,156;39160,916;39318,362;37108,525;42791,289;41307,18;43541,699;461496,166; 
ÓLEO DIESEL ;1993; REGIÃO NORDESTE ; PIAUÍ ; m3 ;12726,95;11689,91;13688,3;12013,9;12434,35;14440,15;13384,8;15042,25;13854,6;15756,2;14093,45;15202,05;164326,91; 
ÓLEO DIESEL ;1993; REGIÃO NORDESTE ; CEARÁ ; m3 ;31956,19;28493,659;35278,14;31003,29;31391,423;37444,447;36827,42;38652,218;33081,719;34702,829;35152,944;39115,652;413099,931; 
ÓLEO DIESEL ;1993; REGIÃO NORDESTE ; RIO GRANDE DO NORTE ; m3 ;14949,8;13866,9;17291,4;14628,85;14589,55;17502,7;15161,01;17105,12;15379,2;17041,15;16410;19181,92;193107,6; 
