COMBUSTÍVEL ; ANO ; REGIÃO ; ESTADO ; UNIDADE ; JANEIRO ; FEVEREIRO ; MARÇO ; ABRIL ; MAIO ; JUNHO ; JULHO ; AGOSTO ; SETEMBRO ; OUTUBRO ; NOVEMBRO ; DEZEMBRO ; TOTAL ; 
QUEROSENE ILUMINANTE ;1999; REGIÃO NORDESTE ; MARANHÃO ; m3 ;598,8;506,05;548,8;449,25;489,75;541,15;548,65;459,95;427;608,05;527,9;663,1;6368,45; 
QUEROSENE ILUMINANTE ;1999; REGIÃO NORDESTE ; PIAUÍ ; m3 ;194,4;160,3;208,1;135;220;190;135;162;200;215;190;250;2259,8; 
QUEROSENE ILUMINANTE ;1999; REGIÃO NORDESTE ; CEARÁ ; m3 ;532,208;324,208;328,208;345,208;314,708;315,208;332,208;387,208;252,208;246,208;307,208;426,208;4110,996; 
QUEROSENE ILUMINANTE ;1999; REGIÃO NORDESTE ; RIO GRANDE DO NORTE ; m3 ;239,25;149;203,25;186,25;151,25;241;210;181;189;252,25;149;212;2363,25; 
QUEROSENE ILUMINANTE ;1999; REGIÃO NORDESTE ; PARAÍBA ; m3 ;45;25;40;25;25;35;10;10;0;25;0;30;270; 
QUEROSENE ILUMINANTE ;1999; REGIÃO NORDESTE ; PERNAMBUCO ; m3 ;355,85;271,65;301,5;281,65;225,35;349;375,7;283,05;292;308,5;291,6;390,65;3726,5; 
QUEROSENE ILUMINANTE ;1999; REGIÃO NORDESTE ; ALAGOAS ; m3 ;10;10;20;0;10;10;10;10;10;10;10;0;110; 
QUEROSENE ILUMINANTE ;1999; REGIÃO NORDESTE ; SERGIPE ; m3 ;10;0;10;0;0;0;0;0;10;0;15;0;45; 
QUEROSENE ILUMINANTE ;1999; REGIÃO NORDESTE ; BAHIA ; m3 ;871,25;727,75;790,34;658,6;735,5;898,05;728,75;922,5;605,981;646;743,35;876,35;9204,421; 
QUEROSENE ILUMINANTE ;1999; REGIÃO SUDESTE ; MINAS GERAIS ; m3 ;537,532;437,463;750,63;696,396;722,91;658,357;526,41;603,27;458,85;464,474;527,573;600,885;6984,75; 
QUEROSENE ILUMINANTE ;1999; REGIÃO SUDESTE ; ESPÍRITO SANTO ; m3 ;5;0;25;15,05;15,05;20,05;30;5;0;15;5;30;165,15; 
